"","x"
"1",372229
"2",380518
"3",392882
"4",406420
"5",417480
"6",428722
"7",440376
"8",451134
"9",461891
"10",472649
"11",516527
"12",525671
"13",538302
"14",550540
"15",642848
"16",619351
"17",595853
"18",609244
"19",624150
"20",639055
"21",657175
"22",665629
"23",683363
"24",690605
"25",696168
"26",702850
"27",713633
"28",723753
"29",733075
"30",736914
"31",740082
"32",739726
"33",741283
"34",758127
"35",759648
"36",760422
"37",761263
"38",762154
"39",765468
"40",769248
"41",733500
"42",690000
"43",648200
"44",561600
"45",472900
"46",277262
"47",493098
"48",515355
"49",543765
"50",573557
"51",599112
"52",630232
"53",647540
"54",670031
"55",688765
"56",712561
"57",716114
"58",737991
"59",756203
"60",773280
"61",803616
"62",812895
"63",827659
"64",835832
"65",842061
"66",854479
"67",860200
"68",854717
"69",855886
"70",864754
"71",847695
"72",846479
"73",841537
"74",832396
"75",825792
"76",1013771
"77",981021
"78",976761
"79",976534
"80",976136
"81",976694
"82",971403
"83",961777
"84",940663
"85",922286
"86",916153
"87",914336
"88",929608
"89",937482
"90",946280
"91",953551
"92",956690
"93",960631
"94",962517
"95",963817
"96",965697
"97",964346
"98",964311
"99",962580
"100",962507
"101",962884
"102",967940
"103",968639
"104",965954
"105",969709
"106",983347
"107",989766
"108",995397
"109",995420
"110",998105
"111",1007119
"112",1013665
"113",1024373
"114",1034175
